Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation,d,run
75.3,248260,2,124130.0,124130.0,119735,128525,6215.5,[CUDA memset],45,8
23.8,78529,1,78529.0,78529.0,78529,78529,0.0,[CUDA memcpy Host-to-Device],45,8
0.8,2738,2,1369.0,1369.0,1337,1401,45.3,[CUDA memcpy Device-to-Host],45,8
78.9,305353,2,152676.5,152676.5,120637,184716,45310.7,[CUDA memset],45,9
20.4,78995,1,78995.0,78995.0,78995,78995,0.0,[CUDA memcpy Host-to-Device],45,9
0.7,2784,2,1392.0,1392.0,1376,1408,22.6,[CUDA memcpy Device-to-Host],45,9
74.9,243558,2,121779.0,121779.0,121253,122305,743.9,[CUDA memset],45,10
24.1,78499,1,78499.0,78499.0,78499,78499,0.0,[CUDA memcpy Host-to-Device],45,10
0.9,2995,2,1497.5,1497.5,1402,1593,135.1,[CUDA memcpy Device-to-Host],45,10
75.6,382739,2,191369.5,191369.5,181449,201290,14029.7,[CUDA memset],55,1
23.8,120326,1,120326.0,120326.0,120326,120326,0.0,[CUDA memcpy Host-to-Device],55,1
0.6,3131,2,1565.5,1565.5,1565,1566,0.7,[CUDA memcpy Device-to-Host],55,1
75.6,381604,2,190802.0,190802.0,180879,200725,14033.2,[CUDA memset],55,2
23.8,120002,1,120002.0,120002.0,120002,120002,0.0,[CUDA memcpy Host-to-Device],55,2
0.6,2930,2,1465.0,1465.0,1401,1529,90.5,[CUDA memcpy Device-to-Host],55,2
75.6,386303,2,193151.5,193151.5,183133,203170,14168.3,[CUDA memset],55,3
23.8,121509,1,121509.0,121509.0,121509,121509,0.0,[CUDA memcpy Host-to-Device],55,3
0.6,3259,2,1629.5,1629.5,1613,1646,23.3,[CUDA memcpy Device-to-Host],55,3
75.6,382608,2,191304.0,191304.0,181484,201124,13887.6,[CUDA memset],55,4
23.8,120329,1,120329.0,120329.0,120329,120329,0.0,[CUDA memcpy Host-to-Device],55,4
0.6,2938,2,1469.0,1469.0,1405,1533,90.5,[CUDA memcpy Device-to-Host],55,4
75.7,381504,2,190752.0,190752.0,181036,200468,13740.5,[CUDA memset],55,5
23.7,119364,1,119364.0,119364.0,119364,119364,0.0,[CUDA memcpy Host-to-Device],55,5
0.6,3154,2,1577.0,1577.0,1561,1593,22.6,[CUDA memcpy Device-to-Host],55,5
75.6,386057,2,193028.5,193028.5,183241,202816,13841.6,[CUDA memset],55,6
23.8,121420,1,121420.0,121420.0,121420,121420,0.0,[CUDA memcpy Host-to-Device],55,6
0.6,2934,2,1467.0,1467.0,1386,1548,114.6,[CUDA memcpy Device-to-Host],55,6
75.6,382379,2,191189.5,191189.5,181211,201168,14111.7,[CUDA memset],55,7
23.8,120286,1,120286.0,120286.0,120286,120286,0.0,[CUDA memcpy Host-to-Device],55,7
0.6,3162,2,1581.0,1581.0,1565,1597,22.6,[CUDA memcpy Device-to-Host],55,7
75.6,381066,2,190533.0,190533.0,180562,200504,14101.1,[CUDA memset],55,8
23.8,120003,1,120003.0,120003.0,120003,120003,0.0,[CUDA memcpy Host-to-Device],55,8
0.6,2931,2,1465.5,1465.5,1370,1561,135.1,[CUDA memcpy Device-to-Host],55,8
75.9,390573,2,195286.5,195286.5,182770,207803,17701.0,[CUDA memset],55,9
23.6,121416,1,121416.0,121416.0,121416,121416,0.0,[CUDA memcpy Host-to-Device],55,9
0.6,2879,2,1439.5,1439.5,1423,1456,23.3,[CUDA memcpy Device-to-Host],55,9
75.6,382117,2,191058.5,191058.5,181122,200995,14052.3,[CUDA memset],55,10
23.8,120451,1,120451.0,120451.0,120451,120451,0.0,[CUDA memcpy Host-to-Device],55,10
0.6,3164,2,1582.0,1582.0,1566,1598,22.6,[CUDA memcpy Device-to-Host],55,10
92.5,6221685,1,6221685.0,6221685.0,6221685,6221685,0.0,[CUDA memcpy Host-to-Device],65,1
7.5,504500,2,252250.0,252250.0,252059,252441,270.1,[CUDA memset],65,1
0.0,3155,2,1577.5,1577.5,1562,1593,21.9,[CUDA memcpy Device-to-Host],65,1
91.0,5173409,1,5173409.0,5173409.0,5173409,5173409,0.0,[CUDA memcpy Host-to-Device],65,2
8.9,505801,2,252900.5,252900.5,252693,253108,293.4,[CUDA memset],65,2
0.1,2972,2,1486.0,1486.0,1374,1598,158.4,[CUDA memcpy Device-to-Host],65,2
91.2,5327788,1,5327788.0,5327788.0,5327788,5327788,0.0,[CUDA memcpy Host-to-Device],65,3
8.8,511473,2,255736.5,255736.5,255672,255801,91.2,[CUDA memset],65,3
0.1,3037,2,1518.5,1518.5,1422,1615,136.5,[CUDA memcpy Device-to-Host],65,3
91.3,5325619,1,5325619.0,5325619.0,5325619,5325619,0.0,[CUDA memcpy Host-to-Device],65,4
8.6,504240,2,252120.0,252120.0,251881,252359,338.0,[CUDA memset],65,4
0.1,3090,2,1545.0,1545.0,1497,1593,67.9,[CUDA memcpy Device-to-Host],65,4
91.1,5219297,1,5219297.0,5219297.0,5219297,5219297,0.0,[CUDA memcpy Host-to-Device],65,5
8.8,505945,2,252972.5,252972.5,252797,253148,248.2,[CUDA memset],65,5
0.1,3004,2,1502.0,1502.0,1342,1662,226.3,[CUDA memcpy Device-to-Host],65,5
91.0,5214514,1,5214514.0,5214514.0,5214514,5214514,0.0,[CUDA memcpy Host-to-Device],65,6
8.9,510536,2,255268.0,255268.0,255074,255462,274.4,[CUDA memset],65,6
0.1,3131,2,1565.5,1565.5,1549,1582,23.3,[CUDA memcpy Device-to-Host],65,6
91.1,5186113,1,5186113.0,5186113.0,5186113,5186113,0.0,[CUDA memcpy Host-to-Device],65,7
8.9,504746,2,252373.0,252373.0,252357,252389,22.6,[CUDA memset],65,7
0.1,2996,2,1498.0,1498.0,1402,1594,135.8,[CUDA memcpy Device-to-Host],65,7
91.3,5395221,1,5395221.0,5395221.0,5395221,5395221,0.0,[CUDA memcpy Host-to-Device],65,8
8.6,508627,2,254313.5,254313.5,253498,255129,1153.3,[CUDA memset],65,8
0.1,2975,2,1487.5,1487.5,1344,1631,202.9,[CUDA memcpy Device-to-Host],65,8
91.3,5433598,1,5433598.0,5433598.0,5433598,5433598,0.0,[CUDA memcpy Host-to-Device],65,9
8.6,511243,2,255621.5,255621.5,255106,256137,729.0,[CUDA memset],65,9
0.1,3285,2,1642.5,1642.5,1353,1932,409.4,[CUDA memcpy Device-to-Host],65,9
92.7,6609211,1,6609211.0,6609211.0,6609211,6609211,0.0,[CUDA memcpy Host-to-Device],65,10
7.2,516603,2,258301.5,258301.5,252166,264437,8676.9,[CUDA memset],65,10
0.0,3092,2,1546.0,1546.0,1530,1562,22.6,[CUDA memcpy Device-to-Host],65,10
88.9,5469764,1,5469764.0,5469764.0,5469764,5469764,0.0,[CUDA memcpy Host-to-Device],75,1
11.1,683016,2,341508.0,341508.0,334782,348234,9512.0,[CUDA memset],75,1
0.1,3251,2,1625.5,1625.5,1530,1721,135.1,[CUDA memcpy Device-to-Host],75,1
88.7,5412067,1,5412067.0,5412067.0,5412067,5412067,0.0,[CUDA memcpy Host-to-Device],75,2
11.3,688558,2,344279.0,344279.0,335206,353352,12831.2,[CUDA memset],75,2
0.1,3380,2,1690.0,1690.0,1563,1817,179.6,[CUDA memcpy Device-to-Host],75,2
89.0,5501210,1,5501210.0,5501210.0,5501210,5501210,0.0,[CUDA memcpy Host-to-Device],75,3
10.9,673721,2,336860.5,336860.5,335472,338249,1963.6,[CUDA memset],75,3
0.1,3255,2,1627.5,1627.5,1532,1723,135.1,[CUDA memcpy Device-to-Host],75,3
88.5,5345156,1,5345156.0,5345156.0,5345156,5345156,0.0,[CUDA memcpy Host-to-Device],75,4
11.5,692125,2,346062.5,346062.5,338839,353286,10215.6,[CUDA memset],75,4
0.1,3803,2,1901.5,1901.5,1566,2237,474.5,[CUDA memcpy Device-to-Host],75,4
89.1,5542786,1,5542786.0,5542786.0,5542786,5542786,0.0,[CUDA memcpy Host-to-Device],75,5
10.8,674825,2,337412.5,337412.5,337172,337653,340.1,[CUDA memset],75,5
0.1,3885,2,1942.5,1942.5,1574,2311,521.1,[CUDA memcpy Device-to-Host],75,5
88.9,5495196,1,5495196.0,5495196.0,5495196,5495196,0.0,[CUDA memcpy Host-to-Device],75,6
11.1,685191,2,342595.5,342595.5,339630,345561,4193.9,[CUDA memset],75,6
0.1,3352,2,1676.0,1676.0,1612,1740,90.5,[CUDA memcpy Device-to-Host],75,6
88.5,5379173,1,5379173.0,5379173.0,5379173,5379173,0.0,[CUDA memcpy Host-to-Device],75,7
11.5,696439,2,348219.5,348219.5,338944,357495,13117.5,[CUDA memset],75,7
0.1,3478,2,1739.0,1739.0,1610,1868,182.4,[CUDA memcpy Device-to-Host],75,7
89.1,5543990,1,5543990.0,5543990.0,5543990,5543990,0.0,[CUDA memcpy Host-to-Device],75,8
10.8,672946,2,336473.0,336473.0,336313,336633,226.3,[CUDA memset],75,8
0.1,3393,2,1696.5,1696.5,1601,1792,135.1,[CUDA memcpy Device-to-Host],75,8
88.4,5376503,1,5376503.0,5376503.0,5376503,5376503,0.0,[CUDA memcpy Host-to-Device],75,9
11.6,704334,2,352167.0,352167.0,351243,353091,1306.7,[CUDA memset],75,9
0.1,3314,2,1657.0,1657.0,1561,1753,135.8,[CUDA memcpy Device-to-Host],75,9
89.0,5506765,1,5506765.0,5506765.0,5506765,5506765,0.0,[CUDA memcpy Host-to-Device],75,10
10.9,675998,2,337999.0,337999.0,335018,340980,4215.8,[CUDA memset],75,10
0.1,3922,2,1961.0,1961.0,1658,2264,428.5,[CUDA memcpy Device-to-Host],75,10
88.1,6416425,1,6416425.0,6416425.0,6416425,6416425,0.0,[CUDA memcpy Host-to-Device],84,1
11.8,861226,2,430613.0,430613.0,423690,437536,9790.6,[CUDA memset],84,1
0.1,3694,2,1847.0,1847.0,1831,1863,22.6,[CUDA memcpy Device-to-Host],84,1
86.1,5546871,1,5546871.0,5546871.0,5546871,5546871,0.0,[CUDA memcpy Host-to-Device],84,2
13.9,894658,2,447329.0,447329.0,428055,466603,27257.6,[CUDA memset],84,2
0.1,3414,2,1707.0,1707.0,1595,1819,158.4,[CUDA memcpy Device-to-Host],84,2
86.4,5446051,1,5446051.0,5446051.0,5446051,5446051,0.0,[CUDA memcpy Host-to-Device],84,3
13.6,855939,2,427969.5,427969.5,421422,434517,9259.6,[CUDA memset],84,3
0.1,3362,2,1681.0,1681.0,1569,1793,158.4,[CUDA memcpy Device-to-Host],84,3
89.0,6852992,1,6852992.0,6852992.0,6852992,6852992,0.0,[CUDA memcpy Host-to-Device],84,4
11.0,845126,2,422563.0,422563.0,422210,422916,499.2,[CUDA memset],84,4
0.0,3625,2,1812.5,1812.5,1732,1893,113.8,[CUDA memcpy Device-to-Host],84,4
