Total (MB),Count,Avg (MB),Med (MB),Min (MB),Max (MB),StdDev (MB),Operation,d,run
3.519,1,3.519,3.519,3.519,3.519,0.0,[CUDA memcpy Host-to-Device],84,7
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],84,7
359.075,2,179.537,179.537,179.537,179.537,0.0,[CUDA memset],84,8
3.519,1,3.519,3.519,3.519,3.519,0.0,[CUDA memcpy Host-to-Device],84,8
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],84,8
359.075,2,179.537,179.537,179.537,179.537,0.0,[CUDA memset],84,9
3.519,1,3.519,3.519,3.519,3.519,0.0,[CUDA memcpy Host-to-Device],84,9
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],84,9
359.075,2,179.537,179.537,179.537,179.537,0.0,[CUDA memset],84,10
3.519,1,3.519,3.519,3.519,3.519,0.0,[CUDA memcpy Host-to-Device],84,10
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],84,10
155.35,2,77.675,77.675,77.675,77.675,0.0,[CUDA memset],55,1
1.508,1,1.508,1.508,1.508,1.508,0.0,[CUDA memcpy Host-to-Device],55,1
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],55,1
155.35,2,77.675,77.675,77.675,77.675,0.0,[CUDA memset],55,1
1.508,1,1.508,1.508,1.508,1.508,0.0,[CUDA memcpy Host-to-Device],55,1
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],55,1
155.35,2,77.675,77.675,77.675,77.675,0.0,[CUDA memset],55,2
1.508,1,1.508,1.508,1.508,1.508,0.0,[CUDA memcpy Host-to-Device],55,2
0.0,2,0.0,0.0,0.0,0.0,0.0,[CUDA memcpy Device-to-Host],55,2
