Distanza,Tempo (s)
25,0.1066114273071289
25,0.10726895904541016
25,0.10793366241455078
25,0.10627481842041016
25,0.10656732940673828
25,0.10749958038330078
25,0.10980355072021485
25,0.10756301116943359
25,0.10622364807128906
25,0.10663001251220704
25,0.10902582550048828
25,0.10830438232421875
25,0.10850627136230469
25,0.10686239624023437
25,0.10703862762451172
25,0.11025465393066407
30,0.18647450256347656
30,0.18384095764160155
30,0.18529603576660156
30,0.18469497680664063
30,0.1873934783935547
30,0.18424429321289063
30,0.18206028747558595
30,0.17596546936035157
30,0.17502006530761718
30,0.16897010803222656
30,0.17629391479492187
30,0.17292121887207032
30,0.1749055938720703
30,0.17679359436035155
30,0.18158380126953125
30,0.18603663635253906
30,0.18430029296875
30,0.1851841278076172
30,0.18671495056152343
30,0.182755615234375
30,0.18378956604003907
30,0.183767578125
30,0.17354742431640624
30,0.17623878479003907
30,0.17517958068847655
30,0.17814710998535158
30,0.18318748474121094
30,0.1852384948730469
30,0.1841766357421875
30,0.18702540588378908
35,0.27600100708007813
35,0.2519151000976563
35,0.266718017578125
35,0.276999267578125
35,0.2595129699707031
35,0.2791517028808594
35,0.276879638671875
35,0.2571551818847656
35,0.2765044250488281
35,0.26191488647460937
35,0.2805386962890625
35,0.270413818359375
35,0.2558056945800781
35,0.2647700805664063
35,0.2808974609375
35,0.2666905212402344
35,0.27688754272460936
35,0.25479171752929686
35,0.2569615478515625
35,0.26073422241210936
35,0.26205197143554687
35,0.27067630004882814
35,0.2594017333984375
35,0.2623170471191406
35,0.2654264831542969
35,0.25872265625
35,0.2590256958007813
35,0.276675048828125
35,0.25508621215820315
35,0.26527880859375
40,0.3932119140625
40,0.36804608154296875
40,0.37299026489257814
40,0.3740272521972656
40,0.3668813781738281
40,0.37222250366210935
40,0.3915155944824219
40,0.37391708374023436
40,0.3688366394042969
40,0.3736292419433594
40,0.371873779296875
40,0.37314654541015624
40,0.38908245849609374
40,0.37925674438476564
40,0.38830926513671876
40,0.3780337829589844
40,0.38863299560546877
40,0.37692620849609376
40,0.39259207153320314
40,0.3792308349609375
40,0.37699380493164064
40,0.3878584289550781
40,0.37851751708984377
40,0.3698766784667969
40,0.38881903076171875
40,0.38840847778320314
40,0.37762371826171875
40,0.3693609008789063
40,0.3935479431152344
40,0.3762354431152344
45,0.513436279296875
45,0.5266075439453125
45,0.5226334838867187
45,0.52132861328125
45,0.52289306640625
45,0.5114385986328125
45,0.51661865234375
45,0.5207736206054687
45,0.5229765625
45,0.5219513549804687
45,0.5207551879882812
